"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6348",0.325850900384917,1.48381277783768,-4.51384351569707,NA,-1.80480702603981,NA,NA,-0.0894579648346148,2.59029282094046,NA,NA,NA,-1.93388496709527,0.195582460026374,8,-59.3723743988266,135.607024246755,7.75075208712458,0.00018553544634087
"6288",0.307286364131935,1.47682609682429,-4.55371750326146,-0.0286277421999269,-1.82373975633047,NA,NA,NA,2.61503312453225,NA,NA,NA,-1.94050315064431,0.188853082067407,8,-59.3740589313965,135.610393311895,7.75412115226443,0.00018522316893321
"6659",0.277300044504762,NA,-4.12628203909203,NA,NA,NA,NA,NA,NA,NA,1.1075956750626,NA,-1.57271492712253,0.272350633412709,5,-62.6293122248802,135.611565626231,7.75529346660049,0.000185114630858348
"3420",-0.89673986756969,1.24684170478524,-3.42400380643248,NA,-1.32658155998394,-0.412491101547469,NA,0.762134049613549,NA,-0.647878149530203,NA,3.57741024670198,-1.65130777274906,NA,9,-58.2655578561141,135.615453061626,7.75918090199535,0.000184755169732942
"7251",-2.01168719536335,NA,-2.50673921961365,NA,NA,-0.476886351635287,NA,0.614804634256565,NA,NA,NA,3.65350458806711,-1.46729298620198,0.200364131065223,7,-60.4750640070153,135.616794680697,7.76052252106682,0.000184631275762583
"2595",0.197528947649743,NA,-4.15253812934423,NA,NA,NA,0.406383351492442,NA,NA,NA,1.08609252149597,NA,-1.5078665197117,NA,5,-62.634146489893,135.621234156257,7.76496199662624,0.000184221897269003
"7207",-2.39071150503714,NA,-2.4128978183937,0.147251064404524,NA,NA,0.814186538711426,NA,NA,NA,NA,3.69285440502927,-1.37317544115189,0.182470993423268,7,-60.4788673183954,135.624401303458,7.76812914382712,0.000183930399201103
"843",0.979916984657109,NA,-4.87397404320722,NA,-1.57706886001324,NA,NA,-0.348148521364891,NA,-2.05652211805487,3.00153289655372,NA,NA,NA,6,-61.5638352801263,135.624711980371,7.76843982074051,0.000183901829955761
"1144",-2.74777971844268,1.18533188987575,-3.44895937526662,0.253331990886124,NA,-0.489766861378365,1.15229222670641,-0.0873479415171039,NA,NA,NA,3.72705919587294,NA,NA,8,-59.3815563173517,135.625388083805,7.76911592417476,0.000183839672133233
"5416",-2.89262790824338,1.16390644241285,-3.2811016798219,0.240060545576637,NA,NA,1.12003443299706,NA,NA,-0.670977995419166,NA,3.87508020612683,NA,0.0220025833667369,8,-59.3819317365616,135.626138922225,7.76986676259462,0.00018377066814229
"1384",-2.89614398112904,1.16203477761055,-3.28484495676111,0.23524629437363,NA,NA,1.11911235059294,0.0227797562583848,NA,-0.674023229343657,NA,3.88443652906783,NA,NA,8,-59.382130471166,135.626536391434,7.77026423180338,0.000183734150180071
"5176",-2.77733340225941,1.17669035694603,-3.47146387281074,0.242914962057686,NA,-0.501061385878475,1.14093036405389,NA,NA,NA,NA,3.75796250217409,NA,-0.0305073064011073,8,-59.3826193324515,135.627514114005,7.77124195437447,0.000183644351618524
"4875",0.820610160134842,NA,-4.97191782865762,NA,-1.61525545780375,NA,NA,NA,NA,-2.21120592965912,2.94839023035871,NA,NA,0.206387950743367,6,-61.5653324163363,135.627706252791,7.77143409316052,0.000183626709864561
"6163",0.709443652343282,NA,-3.12898968267654,NA,NA,-0.870339522170785,NA,NA,NA,NA,NA,NA,-1.67263411305297,0.289424033417749,5,-62.6392444734249,135.63143012332,7.77515796369003,0.000183285126919262
"1507",-4.02134910810618,NA,-2.75948801210563,NA,NA,NA,1.0086237696107,0.898476340574629,1.57248777146821,-0.760945889617857,NA,3.84143540498579,NA,NA,7,-60.4830086239497,135.632683914566,7.77641175493561,0.000183170262283305
"2987",0.462156375795631,NA,-5.33156383352217,NA,-2.30662679291143,NA,1.21413098986136,NA,2.34959485229802,-2.15186379453424,3.05665601945418,NA,-1.83503280110508,NA,8,-59.3895948509006,135.641465150903,7.78519299127252,0.000182367794555628
"2860",1.74319818628921,0.970361092704246,-5.43928715488886,NA,-2.17317374107622,NA,1.01061865077299,NA,NA,-2.02473180787576,2.35648442320075,NA,-1.72650807646941,NA,8,-59.3896035176954,135.641482484493,7.78521032486226,0.000182366214018211
"2323",0.849200702270202,NA,-2.9870870227167,NA,NA,-0.841709207052176,NA,NA,NA,-0.386903133438046,NA,NA,-1.56649724133972,NA,5,-62.6454839857863,135.643909148043,7.78763698841281,0.00018214507747913
"2256",0.375602575694098,1.4828498795264,-4.51225232045242,-0.0373936312097355,-1.8137499711941,NA,NA,-0.0538048299497364,2.62369257585238,NA,NA,NA,-1.9038488745778,NA,8,-59.3950018469087,135.652279142919,7.79600698328876,0.000181384393636736
"783",1.01662104246676,NA,-4.96759873026535,-0.237749008528481,-1.61785953624072,NA,NA,NA,NA,-2.18304736515016,2.97715114709381,NA,NA,NA,6,-61.5782041857242,135.653449791567,7.79717763193629,0.000181278256004689
"939",-0.481654518932696,NA,-5.27537439755866,NA,-1.95612726585696,NA,1.29510359738603,NA,2.16131875040077,-2.38517645305491,3.0269169189902,NA,NA,NA,7,-60.4939724521105,135.654611570888,7.7983394112572,0.000181172983918803
"5476",-2.7775289798814,1.15530231280064,-3.26685624607881,NA,NA,NA,1.10421437803251,0.0476596818300331,NA,-0.690066072643331,NA,3.88846333857832,NA,0.00696605724950273,8,-59.3974509128348,135.657177274771,7.80090511514096,0.000180940714819853
"4619",0.222282360224315,NA,-4.66526702344802,NA,-1.30332076235709,NA,NA,NA,NA,NA,1.72586303802319,NA,NA,0.0353033419451401,5,-62.652492751294,135.657926679059,7.80165451942825,0.000180872928646743
