"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1919",-0.681213763648,NA,0.00377191692996757,0.0131855016310654,0.00610567226343039,0.105679993421049,-0.490235328641876,-0.0933083081670323,NA,0.0959016456369879,-0.00158239710700116,-0.157955395839933,10,-174.680847716378,370.71138868429,10.4422396776839,0.00016334519387831
"2039",-0.577827990176971,NA,0.00376511163893404,0.0134662598390309,NA,0.0923342939057238,-0.478685880230196,-0.0892334463255326,0.0011390999867501,0.0747427137322409,-0.00145396786133966,-0.160631792355669,10,-174.701990135546,370.753673522625,10.4845245160192,0.000159927933191787
"1983",-0.756819656536245,NA,0.0038109168689368,0.0137824118946926,0.00384594983939961,0.0980363268024571,-0.495606457844095,NA,0.000608628223219976,0.108299501496129,-0.00174239110927998,-0.165449891145685,10,-174.73068416819,370.811061587913,10.5419125813071,0.000155404168759828
"448",-0.829049088736932,0.286166489452258,0.00350892603740016,0.0107242195430961,-0.00432872987233108,0.0889195907610135,-0.49682838848696,NA,-0.00143246812443351,0.104645269662235,NA,NA,9,-175.876537610408,370.850636196426,10.5814871898202,0.000152359362786583
"2027",0.0908733006663029,NA,0.00385001155912647,NA,0.002989726426889,NA,-0.478259970331449,-0.121626227425337,0.000666531604143306,0.0101882416361118,2.55960699764603e-05,-0.135809179804325,9,-175.896854297743,370.891269571096,10.6221205644897,0.000149295157896362
"496",-0.0580703418719179,0.270165442908611,0.00372343212964335,0.0109751652596013,-0.00355017098469886,NA,-0.495232034877617,-0.150753660537028,-0.000426296715773888,0.0549991025194973,NA,NA,9,-175.905457396794,370.908475769199,10.6393267625927,0.00014801626596994
"944",-0.111967906642141,0.282760201461165,0.00377641932132115,0.0121677811500348,-0.00557929078448398,NA,-0.490456633082325,NA,-0.000983459525700138,0.0759123795185375,-0.00334894193548204,NA,9,-175.909487388857,370.916535753324,10.647386746718,0.000147420961933891
"895",-0.571144206769503,NA,0.00369641531719561,0.0108345356853912,0.00477335822419603,0.0963071874323719,-0.493762603168224,-0.148619374299228,NA,0.0933873134759116,-0.0030859362756016,NA,9,-176.016731132832,371.131023241275,10.8618742346687,0.000132429236271822
"2031",-0.021985992293169,NA,0.00398674920257131,0.0136601081536447,0.00319042669486158,NA,-0.49098747483442,-0.0990858829784968,0.00116158248897249,0.0636582766453867,-0.00115955946513324,-0.158929659976439,10,-174.901147098011,371.151987447556,10.8828384409505,0.00013104834930184
"767",-0.523885166002615,NA,0.00373710177554359,0.0107514397280831,0.00432051284178514,0.0928585341847375,-0.499073486580539,-0.158514923356262,0.000275211999003687,NA,-0.00306727591884988,NA,9,-176.031364353623,371.160289682856,10.8911406762502,0.00013050547972336
