"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"7544",-2.25595732647702,4.03690537170402,1.11190874224941,0.247602206147081,NA,-0.114308854406241,0.820608473421325,0.216694383719081,NA,-4.61537610383745,NA,-0.262631977501037,-1.36875208082782,0.104680828758078,11,-58.145247883076,139.900251863713,13.5170657025388,1.59319846256729e-05
"6230",-2.61185449267984,3.68185874683961,NA,0.0976103039658158,NA,0.0689390714904885,NA,-0.988867798840739,NA,NA,NA,NA,-1.43371372759506,0.0335671003726958,7,-62.6192613198423,139.905189306351,13.5220031451771,1.58927015050604e-05
"6507",1.01415378857003,NA,0.943120060978051,NA,-0.867911390668944,NA,0.651469607661717,-0.730326881925984,NA,-4.16295250505727,NA,NA,-1.75500544411664,0.147872620166086,8,-61.5232504632317,139.908776375565,13.525590214391,1.58642229411926e-05
"69",-0.80956850118906,NA,NA,0.0790867337845656,NA,NA,NA,-1.77784808282116,NA,NA,NA,NA,NA,NA,3,-66.8850559110682,139.909646705857,13.5264605446832,1.5857320886174e-05
"4161",-0.785152603096489,NA,NA,NA,NA,NA,NA,-1.77563086484895,NA,NA,NA,NA,NA,0.0447869356981438,3,-66.8853809380995,139.91029675992,13.5271105987458,1.58521676657556e-05
"6356",-2.149655099021,4.79467159853528,0.76096827509806,NA,NA,0.0719123284206378,NA,-1.54319571994033,-1.67552979191066,NA,NA,NA,-1.38667393217076,0.0883298747821032,8,-61.5256413529624,139.913558155027,13.5303719938524,1.58263386401168e-05
"2919",0.643149503074331,NA,0.898677933548976,0.0958373641702825,NA,NA,0.707391932832315,-0.311106148361747,NA,-4.29451611097694,-1.17458364062154,NA,-1.35395870667972,NA,8,-61.5279350411505,139.918145531403,13.5349593702285,1.57900795535334e-05
"7447",1.05771916481761,NA,0.895760868401677,0.0292100173371884,NA,-0.995647998888092,NA,NA,NA,-4.34274322940546,NA,-0.275936379131241,-1.77614774411465,0.169144827298982,8,-61.5279959944473,139.918267437996,13.5350812768221,1.578911712546e-05
"7152",-1.69231526601179,4.77335494582094,1.16038344602611,0.235181410506823,-1.04148930756993,NA,0.908549907905804,1.04220443582638,-0.839419973881136,-4.92071550271925,-1.56966354911481,NA,-1.35589539785686,0.106081491344644,12,-57.0021508617864,139.918412153021,13.5352259918465,1.57879747055567e-05
"4429",-0.188477323635464,NA,NA,0.230699776442405,-0.439422040502411,NA,NA,-0.0647199857522037,NA,-3.82079271797327,NA,NA,NA,0.0195216463823527,6,-63.710814354109,139.918670128336,13.5354839671621,1.57859383830112e-05
"4030",-1.26658709745831,4.78062328432963,NA,0.0846939375957217,-0.974639023664051,0.227758488129957,0.779809060053268,NA,-1.37432761634158,-4.3375773040135,-1.79876225703808,1.62464979729088,-1.29147654787169,NA,11,-58.1567183659936,139.923192829548,13.5400066683741,1.57502811736038e-05
"6209",-0.0132399807702559,NA,NA,NA,NA,NA,NA,-1.82115861360926,NA,NA,NA,NA,-1.67095222573613,0.269786785470409,4,-65.8450163202806,139.923950769216,13.540764608042,1.57443134230327e-05
"8060",-1.67748602951483,4.39611176779452,1.04333615336282,NA,-1.18851647808513,0.0969748177936617,0.952815431854895,0.924974874832559,NA,-5.09020096615045,-1.92048655959256,0.575800135502832,-1.43424574354721,0.0882051439698386,12,-57.0049453452847,139.924001120017,13.540814958843,1.57439170586259e-05
"7184",-2.93867482827013,4.14126447579425,0.943403213232713,0.398216848868869,-0.861825464060557,NA,NA,NA,NA,NA,NA,-1.15159546104003,-1.45789704307797,0.0130939804009464,8,-61.5313978384166,139.925071125935,13.5418849647609,1.57354962691889e-05
"754",-3.06440451238181,4.75269423757359,NA,NA,NA,0.234121814282709,0.344665258672345,-0.656923432363293,-1.56662540010949,NA,-0.948002745309193,NA,NA,NA,7,-62.6292727312572,139.925212129181,13.5420259680068,1.57343869302692e-05
"8122",-1.21342328161474,4.77304620693463,NA,NA,-0.970523193289291,0.218464065064917,0.778662902487986,NA,-1.3616287944716,-4.33556987973228,-1.80887553644451,1.63199758195965,-1.29767199647223,-0.00735421148445707,11,-58.1584270243544,139.92661014627,13.5434239850956,1.57233923024815e-05
"3072",-1.7275219144747,4.81982790450842,1.15676262207069,0.23533558803801,-1.05747693864348,0.0739558122974309,0.921049639503568,1.03652004088194,-0.838899406513987,-4.9074820236126,-1.56583391118595,NA,-1.31560990378052,NA,12,-57.006256603499,139.926623636446,13.5434374752716,1.57232862471738e-05
