"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"614",-1.68425322380087,-0.00846024098038708,NA,1.11805707082454,NA,NA,0.24812373411306,-1.0416213938256,NA,NA,0.131492678662364,NA,NA,NA,6,-81.0859234323472,174.668888284813,11.9045137541177,1.84106539411821e-05
"5242",-2.53580168336584,0.113668538206476,NA,NA,-0.130646703513053,-0.709107526041753,0.098630712404227,0.227208142391124,NA,NA,NA,2.69911390256738,NA,-0.260739590066988,8,-78.9036272360244,174.669529921151,11.9051553904555,1.84047484162466e-05
"7226",-2.27032577127421,0.143516265551408,NA,NA,-0.126286208450862,-0.696272875989545,0.113561734841366,NA,NA,NA,NA,2.58326948511291,-0.193969466199676,-0.222224228659884,8,-78.904467848223,174.671211145548,11.9068366148528,1.83892836610571e-05
"5983",-2.00755936637898,NA,-2.54275760007536,0.923049587951246,-0.808943185237426,-0.719572323694677,NA,0.335085024400916,NA,-0.759351688334458,2.15351400830944,2.44636601067685,NA,-0.139538886173212,10,-76.6696015729975,174.672536479328,11.9081619486333,1.83771017283667e-05
"7494",-3.35256551314107,0.134544867315472,NA,1.07960398613018,NA,NA,NA,-0.166520610003686,NA,0.111485291043675,NA,2.87611604465841,-0.151784776638402,-0.127899353625079,8,-78.9053976490128,174.673070747127,11.9086962164324,1.83721932371604e-05
"4810",-2.18763423189734,0.0902274060407133,NA,NA,-0.459306837878531,NA,NA,-0.44844450597012,2.37402959739465,NA,0.0220815618011571,NA,NA,-0.317249495774308,7,-80.0049482587196,174.676563184106,11.9121886534108,1.83401393683175e-05
"7270",-3.35439586696717,0.128176483791844,NA,1.06933375285752,NA,NA,0.0738988293334991,-0.138178938127147,NA,NA,NA,2.85404387324696,-0.13044151517375,-0.127517576794652,8,-78.9072132374258,174.676701923953,11.9123273932583,1.83388671583745e-05
"7450",-2.26672318415675,0.150848030521995,NA,NA,-0.0959037308750858,-0.711436783741158,NA,NA,NA,0.0879603460456648,NA,2.61340630718723,-0.210863212329466,-0.222337913820608,8,-78.9075558435981,174.677387136298,11.9130126056031,1.83325852254675e-05
"1528",-3.69499161603644,0.457569891191759,-1.75708284642173,1.07648513927374,NA,-0.605926756946059,-0.381828236807347,0.820852645654019,2.08253311974348,0.0952526618203628,NA,2.31438991867876,NA,NA,10,-76.6720382976042,174.677409928542,11.9130353978468,1.83323763062829e-05
"7878",-4.31982130473415,0.151844732427316,NA,0.959418199407018,NA,NA,NA,-0.0597589913812644,2.03080294636349,NA,0.141246164168174,2.71729320389932,-0.231894437122238,-0.180815593555484,9,-77.7971155045359,174.678568358469,11.9141938277744,1.83217609941745e-05
