"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LMSPW","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6388",-2.28790137420793,0.143311802431813,4.1505734436266,NA,NA,1.1903336924617,1.0528541678884,1.18184574183599,-4.38384829611031,NA,NA,NA,0.500450244672094,-0.835519803288883,9,-90.1628979048451,199.4233567853,14.8750584374345,4.61897401555821e-06
"1081",-3.98187182263561,NA,NA,NA,-0.756454543191603,1.80499742736046,-0.125468269102266,NA,NA,NA,NA,6.82296336328009,NA,NA,5,-94.5331536457181,199.423450148579,14.8751518007137,4.61875839931065e-06
"6820",-1.56186355597281,0.317110442968364,5.13465719846305,NA,NA,NA,1.10114969633033,NA,-3.86097921294662,NA,-0.898452474807583,NA,0.778881703574389,-0.87835331877305,8,-91.2753757002996,199.423478673327,14.875180325461,4.61869252532217e-06
"4784",-1.46044544568409,0.264783204397415,5.39033215733097,0.642505500970648,-1.14609586137145,NA,1.54510911147491,NA,-3.84634254945284,NA,-0.544833954390219,NA,NA,-0.826554947500572,9,-90.1637087385447,199.424978452699,14.8766801048336,4.61523031373391e-06
"7498",-5.27734926583202,-0.188686604743129,NA,NA,-1.35856045680121,NA,NA,3.64133071486173,NA,0.344827605646234,NA,7.15288263395452,1.33587282784392,-1.12575109366322,8,-91.2767837841708,199.426294841069,14.8779964932034,4.61219359546432e-06
"7698",-4.37518935231907,0.0987225378165095,NA,NA,NA,1.76583310636646,NA,NA,NA,NA,-1.24751364897117,6.85100405326691,1.51574903606587,-0.823174001495024,7,-92.3784975303739,199.431693855929,14.8833955080631,4.59975973478583e-06
"3421",-5.93481999452744,NA,NA,0.20423885459975,-0.945676083912665,1.2964971220021,NA,2.9462049333732,NA,0.304638705877407,NA,7.00002847271018,0.718783488152425,NA,8,-91.2821263448644,199.436979962456,14.8886816145906,4.58761837700213e-06
"2492",-1.76098935481769,0.182199738748635,4.74434440336006,NA,-1.14820481935075,1.12145736244704,1.65858226548519,NA,-4.3336071639876,-0.256999640731596,NA,NA,0.270132910624513,NA,9,-90.1700263220664,199.437613619743,14.889315271877,4.58616511832521e-06
"6532",-0.928231734007433,0.178517242561968,4.74689317788389,NA,NA,NA,NA,NA,-4.05301486045028,-0.10157632653626,NA,NA,0.631512029506081,-1.03726785508973,7,-92.3816243397564,199.437947474694,14.8896491268281,4.58539962525226e-06
"2716",-0.917506486474285,0.442118683683828,3.99354794173292,NA,-0.520440055266759,1.19284253189821,NA,NA,-3.83284605485813,NA,-0.769486562286745,NA,0.183363532396639,NA,8,-91.2826169106399,199.437961094007,14.8896627461416,4.58536840036111e-06
"2700",-0.538990889000698,0.392207751753783,4.50196251371875,NA,-0.774953027636552,NA,NA,NA,-3.77538371234262,NA,-0.715657763519007,NA,0.340892470761821,NA,7,-92.3825244572712,199.439747709723,14.8914493618576,4.58127408375208e-06
"2999",-2.82363395017883,NA,4.56444688446306,0.848193360304275,NA,1.41381672506164,1.45637437034748,NA,-3.79257558321652,0.449807756680698,-0.933684631184899,NA,0.213718068037919,NA,9,-90.1754895224415,199.448540020493,14.9002416726273,4.56117829548783e-06
"7574",-3.55202166722115,0.00823562614655946,NA,0.436770576398023,NA,1.94563596281073,NA,NA,-3.00550198299822,0.429564838437538,NA,6.09665661799175,1.26537945401856,-0.979679414822714,9,-90.1763244714872,199.450209918584,14.9019115707188,4.55737153346988e-06
"7329",-2.27628285434004,NA,NA,NA,NA,NA,-0.514128729582801,NA,-2.90192199385791,NA,NA,6.430431123686,1.68311832381746,-1.00429021113467,6,-93.4736620176362,199.450318047248,14.9020196993829,4.55712514888227e-06
