"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"2888",-2.98938768747011,4.80812678991835,-0.107666177993083,2.08921992164969,NA,NA,NA,-0.342934928329741,NA,-4.50415796511874,0.763894086899972,NA,0.78797482685585,NA,8,-89.3690290659085,195.600333580919,15.5787794732251,1.83182972362294e-05
"4456",-1.93373574048924,4.57578868271029,-0.0859425149792456,2.10381937073824,NA,NA,-1.37043507231155,0.348137358784783,NA,-4.40212868430413,NA,NA,NA,-0.209423873160464,8,-89.3692914658558,195.600858380813,15.5793042731196,1.83134911465868e-05
"4070",-3.11997681130291,5.18058121675484,NA,2.66795623035828,NA,NA,-1.04151275029215,0.420028306265009,-0.746993342692185,-3.8878027782886,1.51942885813214,-1.71044370620257,0.947868245051648,NA,10,-87.1341429453853,195.601619224104,15.5800651164103,1.83065256231548e-05
"888",-1.56549196882669,4.04749018639367,-0.0978212436007246,2.1511949170796,NA,-1.07037312477683,-0.99440436078711,0.0968238666711325,NA,-4.50271127824132,0.725823053799765,NA,NA,NA,9,-88.2588058598686,195.601949069135,15.5803949614411,1.8303506713851e-05
"1929",0.52777466539911,NA,NA,NA,-2.13182700092747,NA,NA,NA,2.97811854137643,-3.80664336978269,0.711580423110769,-1.17282989125246,NA,NA,6,-91.5605068311796,195.618055082478,15.5965009747839,1.81567003618173e-05
"6614",-1.82760596810803,5.05775095933,NA,2.05957303258733,NA,-1.12784811231464,NA,0.150844312646771,-1.3478336667614,-4.63524887273427,NA,NA,0.941380321554631,-0.22070145174418,9,-88.267418775655,195.619174900708,15.597620793014,1.81465371053009e-05
"5529",1.54228496719206,NA,NA,NA,-1.93260652255176,-1.25137476432865,NA,NA,2.43545084810146,-3.90876090944654,NA,-0.756507571935381,NA,-0.212720519550077,7,-90.4764202296598,195.619507125986,15.5979530182926,1.81435229864761e-05
"836",-1.375538702744,4.45793026269825,-0.189402456944896,NA,NA,NA,NA,-0.137924971970934,NA,-4.19153798865907,0.588436818723371,NA,NA,NA,6,-91.563709745323,195.624460910764,15.6029068030706,1.80986390417787e-05
"6552",-1.74821312795481,4.9987463470238,-0.0509322727859209,2.05877167791685,NA,-1.11223655036938,NA,NA,-1.3488240834684,-4.51682073609103,NA,NA,0.939443977979437,-0.216449172078334,9,-88.2712259285407,195.626789206479,15.6052350987852,1.80775818091625e-05
"2424",-1.79266744150717,4.14656916751868,-0.0602841548322267,2.06798974437404,NA,-1.02109069173998,-0.999586915582573,0.404608385893228,NA,-4.61065778246815,NA,NA,0.657599645219187,NA,9,-88.2720862106258,195.628509770649,15.6069556629554,1.8062036676948e-05
"7084",-0.737824718998869,4.61765957279491,-0.0333062994404843,NA,-2.37939870568319,NA,0.64334555358681,NA,0.134172113572918,-4.36366809412975,0.273901987239472,NA,0.5370535524561,-0.371722507577217,10,-87.1553517807815,195.644036894896,15.6224827872026,1.79223538528595e-05
"8190",-2.26736499750983,4.76245494409176,NA,2.78865504869376,-2.21199700251499,-0.470578492520127,0.313744348130982,0.559048749418774,-0.120916637768872,-4.46605449990604,1.04476208189917,-1.13120522714736,0.652976279826246,-0.215603638730653,13,-83.7012907003056,195.649494980858,15.6279408731644,1.78735096581441e-05
"4930",-1.27018937167625,4.50220871430302,NA,NA,NA,NA,NA,-0.249503000021399,NA,-4.21663014066686,0.589778087704799,NA,NA,-0.198922377551837,6,-91.5875970278832,195.672235475885,15.650681368191,1.76714344291464e-05
"8176",-2.62249197924703,4.99019704728307,0.311362778604022,2.96617710202129,-2.37001088116302,NA,0.319642388917168,0.361921074096824,-0.0121370540994522,-4.4541747854549,1.10499460316076,-1.31704245940031,0.751532886786621,-0.20430101671791,13,-83.7147901888893,195.676493958025,15.6549398503318,1.76338477149754e-05
"8038",-3.2132720602583,4.80462967354517,NA,2.58662369195577,NA,NA,-1.07996299867721,0.488142521194782,NA,-3.80612890647114,1.56749515037019,-1.82336254485513,0.961145922943779,-0.252851907922434,10,-87.1760108969609,195.685355127255,15.6638010195614,1.75558922821824e-05
