"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3072",-4.16075980330118,4.71825170884283,0.369586651407871,1.56433947976205,-0.381856216114727,0.0123960907517943,0.0444032962140978,1.52934210392449,-0.530604067158036,-2.93830839714445,-0.319159961926005,NA,0.0158877894750164,NA,12,-73.5384762833982,172.991062996244,16.1071749452286,3.15914379454433e-06
"6919",-0.990019671645308,NA,0.233739953864051,1.26020461070327,NA,NA,NA,NA,NA,-2.57659033616433,-0.146574254214833,NA,-0.270664174279453,-0.0167911762846669,7,-79.1661086955099,172.998884057687,16.114996006671,3.14681398943649e-06
"6656",-4.146432296055,4.75379003807361,0.354388324969019,1.57618324505867,-0.357929130196003,0.0015153346867255,0.0285803840324769,1.40329154917391,-0.585286609492877,-2.88666412080107,NA,NA,0.0249299035713815,-0.1992607868821,12,-73.542559059807,172.999228549062,16.1153404980464,3.14627201097486e-06
"4909",-1.17004628970339,NA,NA,1.2849431982817,-0.366074386623587,NA,0.379434408189216,NA,NA,-2.36499761443601,-0.13685556271672,NA,NA,-0.0610635132249123,7,-79.1680015983671,173.002669863401,16.1187818123853,3.14086301033445e-06
"871",-1.23445132399071,NA,0.2009376221436,1.22203940498419,NA,NA,0.193767512306844,0.199396499256476,NA,-2.68192980476159,-0.275296630862669,NA,NA,NA,7,-79.1688280569788,173.004322780624,16.1204347296086,3.13826828941394e-06
"1853",-0.670228945461525,NA,NA,1.08228220554592,-0.345747643483705,-0.877338519527333,0.322306468839104,NA,NA,-2.88250173389744,-0.797668814822236,1.15047087079019,NA,NA,8,-78.0711889119635,173.004653273029,16.1207652220132,3.13774974534231e-06
"1885",-0.661033808677165,NA,NA,1.07072732371849,-0.293441155406131,-0.953682775779326,NA,0.453832937189997,NA,-3.03253210788785,-0.862534967664569,1.06233357038187,NA,NA,8,-78.0717481407163,173.005771730534,16.1218836795189,3.13599551601888e-06
"6471",-1.06406985950802,NA,0.203176667161815,1.25660414593447,NA,NA,NA,0.117939036607143,NA,-2.65798649349856,NA,NA,-0.295501984581708,-0.032119688238633,7,-79.1708537687483,173.008374204163,16.1244861531477,3.13191749701329e-06
"5961",-0.212226106882829,NA,NA,NA,-0.486024461719837,NA,NA,0.250799247612014,NA,-2.95536307145511,-0.977897655027899,1.1497450838059,NA,-0.162139282828869,7,-79.1754127730538,173.017492212774,16.1336041617586,3.11767156995604e-06
"7040",-4.18489770907432,4.46225586445046,0.364724712455507,1.49720165885848,-0.44312014352673,0.0327142660720243,0.0524720426917475,1.55931748433483,NA,-2.92900897335155,-0.351792891398179,NA,0.0205447091378707,-0.19415490457539,12,-73.5519985458469,173.018107521142,16.1342194701262,3.11671255278426e-06
