"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1688",-2.39524720391684,0.109846515189856,-1.90607369503416,1.44738649144426,NA,-1.44186702029006,NA,NA,1.74644624352996,NA,-0.865666002837335,3.92211109628304,NA,NA,8,-90.2931545277772,197.448584504656,14.4249282569,2.00426334844366e-05
"924",1.02435475940327,0.360338780327392,-3.63257037287906,NA,-2.55176718084343,-1.20837250459096,NA,NA,3.01995660807847,0.835746031021308,-0.512807324731991,NA,NA,NA,8,-90.2936257363789,197.44952692186,14.4258706741035,2.00331914478964e-05
"1130",-1.37224306489356,-0.213984127859192,NA,NA,-2.18033689697993,NA,-0.127057366330431,-0.905122912295845,NA,NA,NA,5.01220656236532,NA,NA,6,-92.4782309497652,197.453503319649,14.4298470718927,1.99934010475269e-05
"4555",0.664624162907342,NA,-3.5491161534549,NA,-2.87999603072365,NA,NA,-0.468179551756914,3.41037617869499,0.813684602465365,NA,NA,NA,-0.263222292016477,7,-91.3934399777999,197.453546622266,14.4298903745103,1.99929681689131e-05
"5470",-2.10652464132472,-0.152863202383052,NA,1.95629914347241,-2.15094705430415,-1.04258873225443,NA,-1.40217042235245,NA,1.13407336772868,NA,5.01107243014717,NA,-0.276005159418162,9,-89.1848092664684,197.453955882334,14.4302996345783,1.99888774257156e-05
"4492",0.560100024954209,0.216583642004346,-3.86806994325809,NA,-3.05544293806272,NA,NA,NA,3.60076838945575,0.604487351758532,NA,NA,NA,-0.290517636521205,7,-91.3945378268569,197.45574232038,14.4320860726242,1.99710309517424e-05
"4831",0.462018616375629,NA,-3.58983771169537,1.93037729742092,-2.88836298976775,-0.986924352459645,NA,-0.270748669311511,2.86825278191326,NA,0.101468527513229,NA,NA,-0.147997937703952,9,-89.1872541938413,197.45884573708,14.435189489324,1.99400657669399e-05
"444",0.975579195023087,0.280284810803212,-3.96994217139418,NA,-2.87664775145055,-1.19613754914196,0.488242604185127,NA,3.10819600683165,0.613731907728196,NA,NA,NA,NA,8,-90.2983249307468,197.458925310595,14.4352690628392,1.99392724321587e-05
"3384",-2.07994522755933,-0.0524656065750083,-2.64815575684991,1.82953461033198,NA,-1.67070872733259,-1.44249899621881,NA,NA,1.2229764671772,NA,4.56805326313642,0.664874913168238,NA,9,-89.1879482123919,197.460233774181,14.4365775264251,1.99262317924707e-05
"6367",0.396694522625759,NA,-3.52863353082193,1.94072998757507,-2.85852672450612,-0.987140532105958,NA,-0.225575338745211,2.88036110275186,NA,NA,NA,0.0425949394231625,-0.150177036993379,9,-89.1904647292146,197.465266807827,14.4416105600707,1.98761501370445e-05
