"","(Intercept)","log(COND_avg)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","nonFP_species_richness","df","logLik","AICc","delta","weight"
"107",-2.35573972666487,NA,1.81286254240195,NA,0.0240975525273573,NA,0.399965797931108,-0.0196785765837799,5,-182.754415849389,375.865974555922,19.7474145601527,9.28266095455451e-06
"43",-2.823407648281,NA,2.05545604858022,NA,-0.173890055551118,NA,0.441068349960845,NA,4,-183.863303891911,375.963294174355,19.8447341785862,8.84178197548072e-06
"127",-2.53547458462512,NA,1.79454370306273,-0.372931586902181,0.024962919566913,0.000403111093366214,0.32724800669866,-0.00843820017958443,7,-180.764518250361,376.203735295902,20.0851753001332,7.84022769365068e-06
"61",0.868224565166035,NA,NA,-0.437300285455171,-0.0785637554260145,0.0082984735713381,0.347342252271836,NA,5,-182.962708792326,376.282560441795,20.1640004460257,7.53723424373023e-06
"33",1.05279579259052,NA,NA,NA,NA,NA,0.46719104402053,NA,2,-186.257604450823,376.585384340242,20.4668243444727,6.47820427774677e-06
"59",-3.18291933210372,NA,2.20033261294902,NA,0.0834955396692984,-0.0679613045076157,0.410329899931995,NA,5,-183.134738262617,376.626619382376,20.5080593866073,6.34600723507891e-06
"105",1.09629279794124,NA,NA,NA,0.0721524565338578,NA,0.40365310437536,-0.0235578600892759,4,-184.560962002643,377.358610395819,21.2400504000502,4.40099356887019e-06
"113",1.11380659543866,NA,NA,NA,NA,-0.00289205140557446,0.400858543129027,-0.022528436007027,4,-184.573392814916,377.383472020364,21.2649120245952,4.3466242713849e-06
"125",0.915375621757461,NA,NA,-0.386661104490662,-0.00488480499356956,0.0270066172984911,0.33673202524031,-0.0144497019479294,6,-182.505861155404,377.514716322784,21.3961563270149,4.07054689660368e-06
"49",1.04060914853213,NA,NA,NA,NA,-0.0497622577151486,0.43340151177581,NA,3,-185.763015926202,377.667208322992,21.5486483272228,3.77172087547072e-06
"123",-2.62903821607402,NA,1.93241499009845,NA,0.117644086452655,-0.035069560232881,0.392067501280962,-0.0157029216037038,6,-182.605528617451,377.714051246878,21.5954912511087,3.68440814576932e-06
"41",1.09997546243216,NA,NA,NA,-0.164587421425691,NA,0.458295935000637,NA,3,-186.17930574446,378.499787959508,22.3812279637386,2.48740884634898e-06
"121",1.0858550173263,NA,NA,NA,0.0936309325752218,-0.00759231283634987,0.401744449217503,-0.0227898384787221,5,-184.553598171095,379.464339199333,23.3457792035636,1.53566870526121e-06
"7",-3.95280976027436,NA,2.03204553569852,-0.702881570810309,NA,NA,NA,NA,3,-186.717429437977,379.576035346542,23.4574753507729,1.45225547976739e-06
"57",1.03091395561933,NA,NA,NA,0.0318084543095724,-0.0515625131132106,0.433851012805336,NA,4,-185.760681633934,379.758049658401,23.6394896626316,1.32592548551512e-06
"71",-3.46497925971132,NA,1.84777885769229,-0.609545293286789,NA,NA,NA,-0.0152986980488299,4,-186.114570259113,380.465826908759,24.34726691299,9.30737561818388e-07
"23",-4.05219719184229,NA,2.11155602978068,-0.642282778884733,NA,-0.0400281866585946,NA,NA,4,-186.422160273669,381.081006937871,24.9624469421017,6.84293784214851e-07
"15",-3.82231425029782,NA,2.03292706549713,-0.67186205506344,-0.315320552166194,NA,NA,NA,4,-186.426228396493,381.089143183519,24.9705831877501,6.81515647784359e-07
"79",-3.46496666825358,NA,1.87677388597471,-0.604686084898777,-0.176335939043506,NA,NA,-0.013214738837561,5,-186.034707363358,382.426557583858,26.307997588089,3.49188542075854e-07
"87",-3.57317401110374,NA,1.90652413420843,-0.596163757149411,NA,-0.0174013614791439,NA,-0.0131820276277791,5,-186.069478386673,382.49609963049,26.3775396347205,3.37255562343402e-07
"69",0.0719476713148756,NA,NA,-0.600909955846849,NA,NA,NA,-0.0204231987834988,3,-188.209574074283,382.560324619155,26.4417646233862,3.26597489539096e-07
"5",-0.114632466220948,NA,NA,-0.728656671929198,NA,NA,NA,NA,2,-189.328171754252,382.726518947101,26.6079589513315,3.00555169623441e-07
"31",-3.93756225069617,NA,2.08826115295349,-0.641936774802851,-0.208434160394522,-0.0268223336053955,NA,NA,5,-186.325826423075,383.008795703293,26.8902357075237,2.60992834203023e-07
"13",0.0215668896715197,NA,NA,-0.698439137684793,-0.323686785361704,NA,NA,NA,3,-189.0126827691,384.166542008788,28.047982013019,1.46294219949125e-07
"21",-0.0797419454871195,NA,NA,-0.687674907464358,NA,-0.0274427944805669,NA,NA,3,-189.184322001089,384.509820472765,28.3912604769964,1.23221132577177e-07
"95",-3.52567954059366,NA,1.90480445281542,-0.598221781164702,-0.146597558723883,-0.00959170336392694,NA,-0.0123923601442697,6,-186.023211102594,384.549416217164,28.4308562213947,1.20805606379423e-07
"77",0.107105201323699,NA,NA,-0.598559807458483,-0.113699402193395,NA,NA,-0.0190454726244159,4,-188.1758858875,384.588458165532,28.4698981697629,1.18470231810319e-07
"85",0.0705313168959484,NA,NA,-0.605259122884837,NA,0.00553614306676614,NA,-0.0210399806891915,4,-188.20460050886,384.645887408253,28.5273274124839,1.15116780912877e-07
"29",0.0173927538352741,NA,NA,-0.688689389517568,-0.286913521086287,-0.00887148480707928,NA,NA,4,-189.00149225057,386.239670891673,30.1211108959039,5.18863296499402e-08
"93",0.118399936838226,NA,NA,-0.608584651149776,-0.161719815217067,0.01419956101339,NA,-0.0200565932795947,5,-188.148949970917,386.655042798976,30.5364828032069,4.21556788092502e-08
"67",-3.40638479694152,NA,1.84583158999683,NA,NA,NA,NA,-0.040067576119795,3,-192.279188560159,390.699553590907,34.5809935951375,5.57958280783998e-09
"83",-3.83741735121686,NA,2.07531545161652,NA,NA,-0.068806412561963,NA,-0.0291461773310245,4,-191.528786817184,391.2942600249,35.1757000291307,4.1444114617104e-09
"75",-3.4251761464105,NA,1.89722622168209,NA,-0.244937272514175,NA,NA,-0.0371984778672153,4,-192.118284871738,392.473256134008,36.354696138239,2.29851379141636e-09
"19",-5.05156630735975,NA,2.60514970793871,NA,NA,-0.133143252523887,NA,NA,3,-193.297309793586,392.735796057759,36.6172360619903,2.01575290261892e-09
"65",0.129062433509983,NA,NA,NA,NA,NA,NA,-0.0451818236103453,2,-194.341956314633,392.754088067862,36.635528072093,1.99740086821686e-09
"91",-3.83254680585444,NA,2.07603149157262,NA,-0.0197582695442307,-0.0676793150483208,NA,-0.0290886021174921,5,-191.527923051263,393.412988959669,37.2944289639003,1.43676825429908e-09
